NO_PRESTADOR;FANTASIA;NUMERO;LOGRADOURO;BAIRRO;MUNICIPIO;UF;REGIAO_SAUDE;ESPECIALIDADES;TELEFONE1;TELEFONE2
NOVA SAUDE MARABA LTDA;INFINITA SAUDE MARABA;0;QUADRA SETE;NOVA MARABA;MARABA;PA;Itacaiúnas Tocantins;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;33212749;
NUCLEO DE MICROCIRURGIA OCULAR LTDA;NUCLEO DE MICROCIRURGIA;324;RUA RIO DE JANEIRO;CENTRO;DIVINOPOLIS;MG;Divinópolis;OFTALMOLOGIA;32224222;
NUCLEO DE UROLOGIA LAVRAS LTDA;NUCLEO DE UROLOGIA LAVRAS LTDA;352;RUA MISSENO DE PÁDUA;CENTRO;LAVRAS;MG;Varginha;UROLOGIA;;
NUCLEO MULTIDISCIPLINAR ECCELLENZA LTDA;NUCLEO MULTIDISCIPLINAR ECCELENZA;290;R ITALIA;NACOES;BALNEARIO CAMBORIU;SC;Balneário Camboriú;PSICOLOGIA  / NUTRICAO / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA;32281480;
NUCLEO PSICOLOGICO INTEGRAR LTDA;NUCLEO PSICOLOGICO INTEGRAR;85;RUA DOUTOR ONOFRE;CENTRO;TEOFILO OTONI;MG;Teófilo Otoni;PSICOLOGIA  / FONOAUDIOLOGIA;;
NUNCHI INTERVENCOES COMPORTAMENTAIS PARA NEURODIVERGENTES LTDA;NUNCHI - INTERVENCOES COMPORTAMENTAIS PARA NEURODI;156;RUA GUSTAVO BARROSO;JARDIM SHANGRI-LA A;LONDRINA;PR;Londrina;PSICOLOGIA;;
NUTRIMED - CENTRO DE MEDICINA NUTRICIONAL;NUTRIMED;0;SGAS 613;ASA SUL;BRASILIA;DF;Distrito Federal;GERIATRIA   / CLÍNICA MÉDICA / NUTROLOGIA;33466000;
OFTALMO CENTER FRANCA LTDA;HOSPITAL OFTALMOLOGICO DE FRANCA;1713;RUA DOUTOR ANTÔNIO RICARDO PINHO;VILA CHAMPAGNAT;FRANCA;SP;Franca;OFTALMOLOGIA;37210823;
OFTALMO LASER CLINICA DE CIRURGIA E DIAGNOSTICOS OFTALMOLO;OFTALMO LASER;220;AVENIDA DIAS BARROSO;CENTRO;BATAGUASSU;MS;NCT de Três Lagoas;OFTALMOLOGIA;35411385;
OFTALMOCLINICA OLIVEIRA RIBEIRO LTDA;OFTALMOCLINICA COSTA RIBEIRO;885;RUA JUCELINO BARBOSA;CENTRO;ALFENAS;MG;Alfenas;OTORRINOLARINGOLOGIA  / OFTALMOLOGIA;32911679;
OFTALMOLOGIA DUMARESQ LTDA;OFTALMOLOGIA DUMARESQ;3700;AVENIDA AMINTAS BARROS;LAGOA NOVA;NATAL;RN;Grande Natal;OFTALMOLOGIA;32318001;
OIT CLINICA MEDICA LTDA;CLINICA OITAVA ROSADO;1104;SENADOR JOAO CAMARA;CENTRO;ACU;RN;II ETAM;CLÍNICA MÉDICA / GINECOLOGIA E OBSTETRICIA  / UROLOGIA  / CARDIOLOGIA;33156900;
ON MOVE PILATES E FISIOTERAPIA LTDA;ON MOVE PILATES E FISIOTERAPIA;792;AVENIDA ANTÔNIO RAMINELLI;PARQUE RESIDENCIAL ANA ROSA;CAMBE;PR;Londrina;FISIOTERAPIA;;
ONCOBIO SERVICOS DE SAUDE S A;ONCOCLINICAS CPO PARAIBA;183;AVENIDA MATO GROSSO;ESTADOS;JOAO PESSOA;PB;I Núcleo Regional de Saúde;ONCOLOGIA CLÍNICA / HEMATOLOGIA E HEMOTERAPIA / CIRURGIA ONCOLÓGICA;30152525;30152504
ONCOCLINICAS DO BRASIL SERVICOS MEDICOS S A;AIO INSTITUTO DE CANCER MATRIZ;9;QS 3  EPCT LOTES 3 5 7 E 9;AREAL (ÁGUAS CLARAS);BRASILIA;DF;Distrito Federal;REUMATOLOGIA  / CIRURGIA GERAL  / CIRURGIA TORACICA  / INFECTOLOGIA  / UROLOGIA  / HEMATOLOGIA E HEMOTERAPIA / CIRURGIA ONCOLÓGICA / COLOPROCTOLOGIA / PSICOLOGIA  / GINECOLOGIA E OBSTETRICIA  / RADIOTERAPIA  / ONCOLOGIA CLÍNICA / MASTOLOGIA  / GERIATRIA   / CIRURGIA DO APARELHO DIGESTIVO / NUTRICAO / GENETICA MÉDICA;;
ONCOCLINICAS DO BRASIL SERVICOS MEDICOS S A;ONCOCLINICAS CETTRO MATRIZ;10;SETOR SMHN D 02 BL A Nº 10 CONS. 1201 A 121214 - A;ASA NORTE;BRASILIA;DF;Distrito Federal;GENETICA MÉDICA / HEMATOLOGIA E HEMOTERAPIA / GINECOLOGIA E OBSTETRICIA  / CIRURGIA DO APARELHO DIGESTIVO / PSICOLOGIA  / CIRURGIA GERAL  / RADIOTERAPIA  / ONCOLOGIA CLÍNICA / MASTOLOGIA  / CIRURGIA PLÁSTICA / ENFERMAGEM  / NUTRICAO / CIRURGIA ONCOLÓGICA;30276200;
ONCOCLINICAS DO BRASIL SERVICOS MEDICOS S A;ONCOCLINICAS CETTRO MATRIZ;1;SHLS CONJUNTO A;ASA SUL;BRASILIA;DF;Distrito Federal;GENETICA MÉDICA / HEMATOLOGIA E HEMOTERAPIA / GINECOLOGIA E OBSTETRICIA  / CIRURGIA DO APARELHO DIGESTIVO / PSICOLOGIA  / CIRURGIA GERAL  / RADIOTERAPIA  / ONCOLOGIA CLÍNICA / MASTOLOGIA  / CIRURGIA PLÁSTICA / ENFERMAGEM  / NUTRICAO / CIRURGIA ONCOLÓGICA;30276200;
ONCOCLINICAS DO BRASIL SERVICOS MEDICOS S A;ONCOCLINICAS DO BRASIL SERVICOS MEDICOS AGIO BH;330;RUA PARAÍBA;FUNCIONÁRIOS;BELO HORIZONTE;MG;Belo Horizonte;ONCOLOGIA CLÍNICA / HEMATOLOGIA E HEMOTERAPIA;33088000;
ONCOLIFE SERVICOS MEDICOS LTDA;ONCOLIFE;603;RUA DUQUE DE CAXIAS;PRATA;CAMPINA GRANDE;PB;III Núcleo Regional de Saúde;CIRURGIA ONCOLÓGICA;30152500;
ORDC SERVICOS DE SAUDE SS LTDA;PULSE CENTRO CARDIOLOGICO;44;TRAVESSA CASTRO ALVES;CENTRO;FORTALEZA;CE;Fortaleza;CARDIOLOGIA;34542157;34542136
ORIGAMI TERAPIAS MULTIDISCIPLINARES;ORIGAMI TERAPIAS MULTIDISCIPLINARES LTDA;29;RUA NATALICIO LINS MADEIROS;BARRO DURO;MACEIO;AL;Região 01;FONOAUDIOLOGIA  / PSICOLOGIA  / TERAPIA OCUPACIONAL / FISIOTERAPIA;;
ORTHOS SERVICOS EM ORTOPEDIA LTDA;ORTHOS SERVICOS EM ORTOPEDIA LTDA;422;AVENIDA DA INTEGRAÇÃO AYRTON SENNA;SÃO JOSÉ;PETROLINA;PE;Petrolina;ORTOPEDIA E TRAUMATOLOGIA;;
ORTOCLIN CLINICA DE ORTOPEDIA E TRAUMATOLOGIA LTDA;ORTOCLIN;739;RUA ALAGOAS;CENTRO;IMPERATRIZ;MA;Tocantins;ORTOPEDIA E TRAUMATOLOGIA  / FISIOTERAPIA / NUTRICAO / REUMATOLOGIA;35257259;
ORTOFAZ CLINICA DE ORTOPEDIA E FRATURAS FAZENDA LTDA;ORTOFAZ CLINICA DE ORTOPEDIA E FRATURAS FAZENDA;190;AVENIDA DAS ARAUCÁRIAS;EUCALIPTOS;FAZENDA RIO GRANDE;PR;Metropolitana;CLÍNICA MÉDICA / NUTRICAO / ORTOPEDIA E TRAUMATOLOGIA;;
ORTOFISIO CLINICA DE ORTOPEDIA E FISIOTERAPIA ALMENARA LTDA;ORTOFISIO;455;SEVERIANO COUTINHO;CENTRO;ALMENARA;MG;Pedra Azul;ORTOPEDIA E TRAUMATOLOGIA  / FISIOTERAPIA;37211266;
OSTERMANN MEDICAL CENTER GAROPABA LTDA;OSTERMANN MEDICAL CENTER GAROPABA LTDA;388;PROFESSOR ANTONIO JOSE BOLTELHO;CENTRO;GAROPABA;SC;Grande Florianópolis;PEDIATRIA;32544261;
OTOCENTER FELIX SERVICOS DE SAUDE LTDA;OTOCENTER FELLIX SERVICOS DE SAUDE LTDA;229;ATOR PAULO GUSTAVO;ICARAÍ;NITEROI;RJ;Metropolitana II;OTORRINOLARINGOLOGIA;27106220;26100864
OTORRINO CLINICA E CIRURGIA LTDA;OTORRINO CLINICA E CIRURGIA;323;RUA DOUTOR ANTÔNIO DOS SANTOS CORAGEM;CENTRO;GUAXUPE;MG;Alfenas;OTORRINOLARINGOLOGIA;;
P P DA SILVA INTEGRAR;CLINICA INTEGRAR II DE ARAGUAINA;19;RUA DAS CAMÉLIAS;SETOR RODOVIÁRIO;ARAGUAINA;TO;Região de Saúde Médio Norte;FISIOTERAPIA / FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / PSICOLOGIA;;
P P S LTDA;CLINICA INTEGRAR DE TOCANTINOPOLIS;705;15 DE NOVEMBRO;CENTRO;TOCANTINOPOLIS;TO;Região de Saúde Portal do Bico;FONOAUDIOLOGIA  / PSICOLOGIA  / FISIOTERAPIA / TERAPIA OCUPACIONAL;;
PACO NUCLEO DE TREINAMENTO INTEGRAL LTDA;PACO NUCLEO DE TREINAMENTO INTEGRAL;620;RUA DAS ORQUÍDEAS;JARDIM CUIABÁ;CUIABA;MT;Baixada Cuiabana;FISIOTERAPIA / PSICOLOGIA  / TERAPIA OCUPACIONAL;;
PACTO MEDICINA E SEGURANCA DO TRABALHO LTDA.;PACTO MEDICINA E SEGURANCA DO TRABALHO LTDA.;274;RUA ANA DE OLIVEIRA;CENTRO;PATOS DE MINAS;MG;Patos de Minas;MEDICINA DO TRABALHO;30301346;
PATRICIA MARTINS PAGIOLI;;555;RUA JOSÉ BIANCHI;NOVA RIBEIRÂNIA;RIBEIRAO PRETO;SP;Ribeirão Preto;NUTRICAO;;
PATRICIA VIEIRA STUDIO DE PILATES LTDA;PATRICIA VIEIRA STUDIO DE PILATES;1661;RUA BOLÍVIA;LUTHER KING;FRANCISCO BELTRAO;PR;Francisco Beltrão;FISIOTERAPIA;;
PAULO KUHN PSICOLOGIA LTDA;PAULO KUHN PSICOLOGIA;215;RUA AGAPITO LEMOS;PARQUE SÃO JUDAS TADEU;PRESIDENTE PRUDENTE;SP;Presidente Prudente;PSICOLOGIA;;
PCS SERVICOS MEDICOS LTDA;PCS SERVICOS MEDICOS;1065;RUA PRESIDENTE VARGAS;VILA PROGRESSO;DOURADOS;MS;NCT de Dourados;PSIQUIATRIA;;
PDF E GUIMARAES LTDA;HMAIS ONCO;0;AC PATOS RUA PRESIDENTE EPITÁCIO PESSOA 69;CENTRO;PATOS;PB;VI Núcleo Regional de Saúde;CIRURGIA ONCOLÓGICA / ONCOLOGIA CLÍNICA / CARDIOLOGIA  / NUTRICAO / CIRURGIA DE CABEÇA E PESCOÇO / CIRURGIA TORACICA  / PSICOLOGIA  / CIRURGIA GERAL  / HEMATOLOGIA E HEMOTERAPIA / ENFERMAGEM;21470653;
PED E AMOR HOSPITALAR LTDA;PED E AMOR;1296;AVENIDA T 63;SETOR BUENO;GOIANIA;GO;Central;PEDIATRIA;39952195;
PEDRO GRILLO FISIOTERAPIA LTDA;PEDRO GRILLO FISIOTERAPIA;49;AVENIDA MÁRIO H. ARITA;JARDIM PRIMAVERA;ARARAQUARA;SP;Araraquara;FISIOTERAPIA;;
PERIN WILT LABORATORIO LTDA;LABORATORIO BOA VISTA;72;RUA JOSÉ COELHO;CENTRO;BOA VISTA;RR;Secretaria Estadual de Saúde;PATOLOGIA / PATOLOGIA CLINICA / MEDICINA LABORATORIAL;32248263;
PHYSIOCLINICA LTDA.;PHYSIOCLINICA.;957;AVENID FLORIANÓPOLIS;JARDIM SANTA ROSA;FOZ DO IGUACU;PR;Foz do Iguaçu;FISIOTERAPIA / MEDICINA FISICA E REABILITACAO;35249036;
PHYSIUS CENTRO AVANCADO DE FISIOTERAPIA LTDA;PHYSIUS GLOBAL;346;RUA GUILHERME HELMUTH ARENDT;CENTRO;CONCORDIA;SC;Concórdia;FISIOTERAPIA / MEDICINA FISICA E REABILITACAO;30110250;
PIMENTA E JESUS SERVICOS DE IMAGEM LTDA;PIMENTA E JESUS SERVICOS DE IMAGEM;2564;RUA ALMIRANTE BARROSO;CENTRO;TOLEDO;PR;Toledo;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;;
PINHO TAVARES E LEAO SERVICOS MEDICOS LTDA;INSTITUTO DE OLHOS GUANHAES IOG;460;AVENIDA ALBERTO CALDEIRA;;GUANHAES;MG;Itabira;OFTALMOLOGIA;34212817;
PIONEIRA ATENDIMENTO DOMICILIAR EM SAUDE;PIONEIRA ATENDIMENTO DOMICILIAR EM SAUDE;518;PRAIA BOTAFOGO;BOTAFOGO;RIO DE JANEIRO;RJ;Metropolitana I;TERAPIA OCUPACIONAL / PSICOLOGIA  / REMOCOES  / MEDICINA FISICA E REABILITACAO  / NUTRICAO / FISIOTERAPIA / CLÍNICA MÉDICA / FONOAUDIOLOGIA  / ENFERMAGEM  / EVENTOS CLINICOS - ASSISTENCIA HOSPITALAR;25427933;
PIRES MEDICAL SERVICE LTDA;ENDORTOP CLINICA;350;RUA MONSENHOR GONZÁLES;CENTRO;MANHUACU;MG;Manhumirim;ORTOPEDIA E TRAUMATOLOGIA;;
PIRESPED LTDA;PIRESPED;221;RUA MARANHÃO;CENTRO;POCOS DE CALDAS;MG;Pouso Alegre;PEDIATRIA;37211180;
PLACIDO MOURA MACEDO LTDA;CENTRO DE SAUDE NUTRIDIGEST;175;R CATULO DA PAIXAO CEARENSE;TRIANGULO;JUAZEIRO DO NORTE;CE;Juazeiro do Norte;NUTROLOGIA / PNEUMOLOGIA  / ALERGIA E IMUNOLOGIA;;
PLATO PSICOLOGIA LTDA;PLATO PSICOLOGIA;1452;RUA CONDE AFONSO CELSO;JARDIM SUMARÉ;RIBEIRAO PRETO;SP;Ribeirão Preto;PSICOLOGIA;;
PLURI CLINICA DE ATENCAO A SAUDE E SERVICOS;INSTITUTO DOPU;295;RUA PROFESSOR VESPAZIANO PIZZA;ALTO DA BOA VISTA;RIBEIRAO PRETO;SP;Ribeirão Preto;TERAPIA OCUPACIONAL / PSICOLOGIA  / FISIOTERAPIA / NEUROLOGIA  / GERIATRIA   / FONOAUDIOLOGIA;;
PODOSPORTS CLINICA DE FISIOTERAPIA E REABILITACAO;PODOSPORTS CLINICA DE FISIOTERAPIA E REABILITACAO;1325;AVENIDA MÃE LUZIA;JESUS DE NAZARÉ;MACAPA;AP;I Regional de Saúde;PSICOLOGIA  / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / FISIOTERAPIA;32233721;
POLLYANNA INNOCENTE FERNANDES;;62;RUA DOS TRABALHADORES;NOVA JABOTICABAL;JABOTICABAL;SP;Ribeirão Preto;PSICOLOGIA;;
POLU CENTRO DE TERAPIA MULTIDISCIPLINAR LTDA;POLU CENTRO DE TERAPIA MULTIDISCIPLINAR;48;RUA JOÃO GUIMARÃES;ESTAÇÃO;SAO PEDRO DA ALDEIA;RJ;Baixada Litorânea;PSICOLOGIA  / NUTRICAO / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / FISIOTERAPIA;;
PONTALTI E LESCANO - NUCLEO DE PSICOLOGIA LTDA;DIALOGOS - NUCLEO DE PSICOLOGIA;1150;RUA ABRÃO JÚLIO RAHE;CENTRO;CAMPO GRANDE;MS;NCT de Campo Grande;PSICOLOGIA;;
POSTO DE COLETA SANTA PAULA EIRELI;LABORATORIO SANTA PAULA;966;SAO PAULO;CRISTO REI;SAO MIGUEL DO GUAPORE;RO;I Delegacia Regional de Saúde;PATOLOGIA CLINICA / MEDICINA LABORATORIAL / PATOLOGIA / CLÍNICA MÉDICA;;
PRANA MEDICINA INTEGRATIVA LTDA;PRANA MEDICINA INTEGRATIVA;92;RUA FREDERICO COSTA;CENTRO;JEQUIE;BA;Jequié;CLÍNICA MÉDICA / PSICOLOGIA  / FISIOTERAPIA / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / GINECOLOGIA E OBSTETRICIA  / FONOAUDIOLOGIA  / PEDIATRIA  / CARDIOLOGIA;30475787;
PRATES E FERREIRA LTDA;CLINICA BEM ESTAR;2109;DUQUE DE CAXIAS;SANTA LUZIA;GUAJARA-MIRIM;RO;Departamento de Epidemiologia;PSICOLOGIA  / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / NUTRICAO / PEDIATRIA  / CLÍNICA MÉDICA / FISIOTERAPIA / FONOAUDIOLOGIA;32222222;
PRE ANALISES LABORATORIOS LTDA;PRE ANALISES LABORATORIOS LTDA;264;MANOEL MAIA;CENTRO;PRINCESA ISABEL;PB;XI Núcleo Regional de Saúde;PATOLOGIA CLINICA / MEDICINA LABORATORIAL;;
PRIMORIS CONSULTORIA E SERVICOS PSICOLOGIA;PRIMORIS CLINICA E GESTAO COMPORTAMENTAL;60;AVENIDA AUGUSTO EMÍLIO ESTELITA LINS;JARDIM CAMBURI;VITORIA;ES;SR Vitória;TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / FISIOTERAPIA / PSIQUIATRIA  / PSICOLOGIA  / NUTRICAO;31004121;31008110
PRISCILA RODRIGUES MATTANA;;652;AVENIDA MAJOR JOÃO SCHELL;ANNES;PASSO FUNDO;RS;CRS 06 Passo Fundo;PSICOLOGIA;;
PRISCILA RODRIGUES MATTANA;;566;PAULO DALL OGLIO;CENTRO;SARANDI;RS;CRS 15 Palmeira das Missões;PSICOLOGIA;;
PRO OTORRINO MGA CENTRO DIAG E TERAP OUV NAR E GAR S/S;PRO OTORRINO;125;RUA RODRIGO SILVA;ZONA 04;MARINGA;PR;Maringá;OTORRINOLARINGOLOGIA;30283944;
PROTEA NEURODESENVOLVIMENTO LTDA;PROTEA NEURODESENVOLVIMENTO;111;RUA ZULEIMA FORTES FARIAS;CENTRO;GUARAPARI;ES;SR Vitória;FONOAUDIOLOGIA  / PSICOLOGIA  / TERAPIA OCUPACIONAL;38021516;
PROTEA NEURODESENVOLVIMENTO LTDA;PROTEA NEURODESENVOLVIMENTO LTDA;158;RUA EDGAR GONÇALVES;CAMPO GRANDE;CARIACICA;ES;SR Vitória;TERAPIA OCUPACIONAL / PSICOLOGIA  / FONOAUDIOLOGIA;38021516;
PROTOCLINIC LTDA;PROTOCLINIC;455;AV NICODEMOS ARAUJO;CENTRO;ACARAU;CE;Acaraú;ENDOCRINOLOGIA E METABOLOGIA / CLÍNICA MÉDICA / UROLOGIA  / CIRURGIA TORACICA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / CIRURGIA GERAL  / CARDIOLOGIA;;
PSICOCLIN CLINICA DE PSICOLOGIA LTDA;PSICOCLIN;138;RUA RAUL CUNHA;MECEJANA;BOA VISTA;RR;Secretaria Estadual de Saúde;PSICOLOGIA;32245854;
PSICOLOGA ANA CRISTINA FIRMINO LTDA;CLINICA ENTRELACOS DESENVOLVIMENTO HUMANO;1;RUA 9 EDIF ATLANTIS TRADE CENTE LOTE;NORTE (ÁGUAS CLARAS);BRASILIA;DF;Distrito Federal;PSICOLOGIA;;
PSICOLOGA MARCIA MILHOMEM;M A MILHOMEM;540;RUA VOLUNTÁRIOS DA PÁTRIA;SÃO JOÃO;ARAGUAINA;TO;Região de Saúde Médio Norte;NUTRICAO / PSICOLOGIA;;
PSICOSSOMA CLINICA MULTIDISCIPLINAR LTDA;PSICOSSOMA CLINICA MULTIDISCIPLINAR;270;RUA CORONEL AURIS COELHO;LAGOA NOVA;NATAL;RN;Grande Natal;PSICOLOGIA;20309021;
PSIQMED CLINICA MEDICA LTDA;PSIQMED;227;AVENIDA OTÁVIO SANTOS;RECREIO;VITORIA DA CONQUISTA;BA;Vitória da Conquista;PSIQUIATRIA;32026887;
PULSAR CLINICA CARDIOLOGICA LIMITADA;PULSAR CARDIOLOGIA E SAUDE;449;RUA SALVADOR;ADRIANÓPOLIS;MANAUS;AM;Entorno de Manaus;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / CARDIOLOGIA;;
PUPA – CLINICA DE DESENVOLVIMENTO E PSICOLOGIA LTDA;PUPA – CLINICA DE DESENVOLVIMENTO E PSICOLOGIA LTD;644;RUA RIO GRANDE DO SUL;CENTRO;CAMPO NOVO DO PARECIS;MT;Tangará da Serra;HOMEOPATIA  / FISIOTERAPIA / PSICOLOGIA;;
PUPA CLINICA MULTI LTDA;PUPA;147;RUA QUERUBIM DE OLIVEIRA;PONTALZINHO;ITABUNA;BA;Itabuna;PSICOLOGIA  / FONOAUDIOLOGIA  / NUTRICAO / FISIOTERAPIA / TERAPIA OCUPACIONAL;36174051;
QUININOS MEDICOS LTDA;QUININOS MEDICOS LTDA;1883;TERESINHA LEITE;PENEDO;CAICO;RN;IV ETAM;PEDIATRIA;;
QUINTEIRO SERVICOS MEDICOS LTDA;QUINTEIRO SERVICOS MEDICOS LTDA;1934;AVENIDA DOUTOR AGOSTINHO TUCCI;VILA HARMONIA;ARARAQUARA;SP;Araraquara;CLÍNICA MÉDICA;;
R B CLINICA DE TERAPIAS AVANCADAS LTDA;CLIAP KIDS;1439;RUA CONSELHEIRO MORTON FARIA;LAGOA NOVA;NATAL;RN;Grande Natal;TERAPIA OCUPACIONAL / NUTRICAO / FONOAUDIOLOGIA  / FISIOTERAPIA / PSICOLOGIA;42030403;
R C ULTRASSONOGRAFIA E SERVICOS LTDA;R C ULTRASSONOGRAFIA E SERVICOS LTDA;420;RUA MARIANA FIGUEIREDO;VILA ADELAIDE;VARGINHA;MG;Varginha;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;32122770;
R D C UROLOGIA LTDA;R D C UROLOGIA LTDA;880;AVENIDA JOSÉ ARIANO RODRIGUES;JARDIM ARIANO;LINS;SP;Bauru;UROLOGIA;;
R M MACCARINI PSICOLOGIA ME;MACCARINI PSICOLOGIA;2002;RUA RIO BRANCO;CENTRO;MEDIANEIRA;PR;Foz do Iguaçu;PSICOLOGIA;;
R M N TERAPIAS INTEGRADAS LTDA;TEAMOR GRAVATA;1906;AVENIDA CÍCERO BATISTA DE OLIVEIRA;ALPES SUIÇOS;GRAVATA;PE;Caruaru;PSICOLOGIA  / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / FISIOTERAPIA;;
R S M TERAPIAS INTEGRADAS LTDA;TEAMOR CARPINA;590;RUA ROSITA FREIRE;CAJÁ;CARPINA;PE;Limoeiro;FISIOTERAPIA / NUTRICAO / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / PSICOLOGIA;;
RAAJ8 SERVICOS EM OFTALMOLOGIA LTDA;RAAJ8 SERVICOS EM OFTALMOLOGIA LTDA;570;AVENIDA SÃO JOÃO;JARDIM ESPLANADA II;SAO JOSE DOS CAMPOS;SP;Taubaté;OFTALMOLOGIA;39118179;
RADIOCOR MANHUACU LTDA;RADIOCOR MANHUACU LTDA;481;R. FREDERICO DOLABELA;CENTRO;MANHUACU;MG;Manhumirim;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;21230100;
RADIOLOGIA SCAN SOCIEDADE EMPRESARIA LTDA ME;RADSCAN;1289;AV. CRISTIANO DIAS LOPES FILHO;SEDE;ITAPEMIRIM;ES;SR Cachoeiro do Itapemirim;TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / PSICOLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;35296303;
RADIOTERAPIA DE VOLTA REDONDA LTDA;CENTRO CUIDAR ONCOLOGIA;2490;DOS METALURGICOS;SAO GERALDO;VOLTA REDONDA;RJ;Médio Paraíba;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / ANESTESIOLOGIA  / CIRURGIA E TRAUMATOLOGIA BUCO-MAXILO-FACIAIS / RADIOTERAPIA;21027007;
RAIMUNDA FURTADO DE SOUSA;RAIMUNDA FURTADO DE SOUSA;647;RUA PRUDENCIO FURTADO;MONTE CASTELO;UBAJARA;CE;Tianguá;PSICOLOGIA;;
RAIO X LAGOS DIAGNOSTICOS POR IMAGEM LTDA;LAGOS IMAGENS;140;RUA MACAÉ;FLUMINENSE;SAO PEDRO DA ALDEIA;RJ;Baixada Litorânea;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;;
RAISSA SALOMON SILVA;;1314;RUA ALAGOAS;SAVASSI;BELO HORIZONTE;MG;Belo Horizonte;PSICOLOGIA;;
RAIZER SERVICOS MEDICOS LTDA;CENTRO DE ONCOLOGIA TIMBO;592;AVENIDA SETE DE SETEMBRO;CENTRO;TIMBO;SC;Timbó;CIRURGIA ONCOLÓGICA / ONCOLOGIA CLÍNICA / MASTOLOGIA  / HEMATOLOGIA E HEMOTERAPIA;22041378;
REABILITAR CLINICA DE FISIOTERAPIA LTDA;REABILITAR CLINICA DE FISIOTERAPIA;575;PROFESSOR MANOEL AMBROSIO;CENTRO;JANUARIA;MG;Januária;FISIOTERAPIA;;
RECRIAR FONOAUDIOLOGIA LTDA;RECRIAR FONOAUDIOLOGIA;1695;RUA PRESIDENTE VARGAS;VILA PROGRESSO;DOURADOS;MS;NCT de Dourados;FONOAUDIOLOGIA;;
REDE ACOLHE LTDA;REDE ACOLHE;90;AVENIDA ENGENHEIRO MÁRIO DE GUSMÃO;PONTA VERDE;MACEIO;AL;Região 01;FISIOTERAPIA / PSICOLOGIA  / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA;;
REDE DOR SAO LUIZ S A;MATERNIDADE PERINATAL BARRA;201;AVENIDA EMBAIXADOR ABELARDO BUENO;JACAREPAGUÁ;RIO DE JANEIRO;RJ;Metropolitana I;NEUROLOGIA  / NEUROCIRURGIA  / PATOLOGIA / CIRURGIA TORACICA  / FONOAUDIOLOGIA  / GENETICA MÉDICA / UROLOGIA  / PEDIATRIA  / CARDIOLOGIA  / ALERGIA E IMUNOLOGIA  / OTORRINOLARINGOLOGIA  / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / GASTROENTEROLOGIA  / CIRURGIA VASCULAR / CIRURGIA PLÁSTICA / OFTALMOLOGIA  / GINECOLOGIA E OBSTETRICIA  / CIRURGIA GERAL  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / CIRURGIA PEDIATRICA  / FISIOTERAPIA / CIRURGIA CARDIOVASCULAR  / DERMATOLOGIA   / ANGIOLOGIA;37222000;
REDE OFTALMO CLINICAS MEDICA LTDA;REDE OFTALMO;1949;JESUINO DE ARRUDA;CENTRO;SAO CARLOS;SP;Araraquara;OFTALMOLOGIA;33766595;
REHAB FISIOTERAPIA E SAUDE LTDA;REHAB;286;RUA AFONSO CELSO GUIMARÃES;JARDIM SÃO LUIZ;MONTES CLAROS;MG;Montes Claros;FISIOTERAPIA;41412009;
REHABILITAR CENTRO DE REABILITACAO;REHABILITAR CENTRO DE REABILITACAO NEUROLOGICA;1153;RUA PREFEITO ÂNGELO FERRÁRIO LOPES;ALTO DA RUA XV;CURITIBA;PR;Metropolitana;TERAPIA OCUPACIONAL / FISIOTERAPIA / FONOAUDIOLOGIA;;
REIS OLIVEIRA SERVICOS DE SAUDE LTDA;CLINICA EQUILIBRIO DE SAUDE INTEGRADA;25;AVENIDA DOS SAMBAQUIS;CALHAU;SAO LUIS;MA;Ilha do Maranhão;ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / FONOAUDIOLOGIA  / PSICOLOGIA  / TERAPIA OCUPACIONAL / FISIOTERAPIA;31815388;
RENATA MACHADO VALERIO;RENATA VALÉRIO;436;RUA GENERAL BACELAR;CENTRO;RIO GRANDE;RS;CRS 03 Pelotas;PSICOLOGIA;;
